iter	SMAPE	RMSE
199	35.18847184	5853.672151
200	35.17794768	5850.815057
201	35.18434231	5850.558392
202	35.08806812	5840.577792
203	35.09931957	5837.593957
204	35.19911984	5833.662546
205	35.29569245	5832.117821
206	35.2669648	5818.602114
207	35.27577825	5806.608158
208	35.26984944	5804.185698
209	35.17508848	5791.081678
210	35.01397589	5774.871757
211	34.98256569	5771.123366
212	34.78260164	5742.637985
213	34.78594326	5740.269616
214	34.62275984	5725.722352
215	34.52777964	5720.97999
216	34.51779372	5718.150804
217	34.46092902	5706.180545
218	34.40177936	5695.383611
219	34.44589657	5684.654427
220	34.4385155	5682.032957
221	34.45652633	5678.430672
222	34.39427789	5671.01265
223	34.3565772	5656.076708
224	34.44945361	5654.687239
225	34.48119135	5649.851746
226	34.47146246	5649.460646
227	34.40941886	5642.931018
228	34.38899999	5639.648934
229	34.33097626	5633.526495
230	34.30343836	5632.815219
231	34.37879092	5630.589302
232	34.30078832	5609.299944
233	34.25735412	5605.468975
234	34.25287829	5603.727479
235	34.32675761	5601.632063
236	34.23482107	5596.189651
237	34.21806422	5590.563973
238	34.30154159	5589.283475
239	34.27341213	5576.504226
240	34.25936023	5574.143714
241	34.25564035	5573.238341
242	34.27457931	5567.400949
243	34.25724114	5564.244131
244	34.22820063	5562.754408
245	34.2248132	5561.12338
246	34.02784882	5553.032289
247	34.10097625	5551.138557
248	34.08937664	5547.340622
249	34.05087425	5545.944074
250	34.05091004	5542.986894
251	34.14935762	5540.293536
252	34.17469081	5537.051832
253	34.13088948	5530.976408
254	34.13392205	5528.602721
255	34.13545305	5527.404765
256	34.14618114	5526.017266
257	34.05316018	5520.442245
258	34.04850747	5520.052258
259	34.06309076	5509.185342
260	34.06839922	5508.907036
261	34.05085282	5506.014079
262	34.04688982	5504.895772
263	34.05410147	5503.514631
264	34.03476875	5498.514078
265	33.99484558	5487.792854
266	33.98562817	5486.420944
267	33.88589406	5467.289209
268	33.88179288	5465.12345
269	33.8771497	5462.913161
270	33.86001185	5457.875309
271	33.85613109	5456.442237
272	33.76716161	5451.555993
273	33.73822005	5449.502352
274	33.57535552	5443.764243
275	33.56068656	5441.490372
276	33.55642562	5440.063399
277	33.50562023	5426.537918
278	33.50658792	5424.411143
279	33.41339009	5406.7887
280	33.34126409	5398.520127
281	33.41330603	5395.34866
282	33.41636381	5393.094513
283	33.41476864	5391.709557
284	33.36956307	5385.254717
285	33.3334355	5374.253934
286	33.32521201	5373.117805
287	33.29746043	5371.197884
288	33.1497594	5363.354608
